Date,Time,Activity,White Light,Sleep/Wake
2/20/2019,4:21:00 PM,91,4.56,1
2/20/2019,4:21:30 PM,117,3.03,1
2/20/2019,4:22:00 PM,76,2.83,1
2/20/2019,4:22:30 PM,91,2.2,1
2/20/2019,4:23:00 PM,44,1.75,1
2/20/2019,4:23:30 PM,67,0.65,1
2/20/2019,4:24:00 PM,0,0.47,1
2/20/2019,4:24:30 PM,154,1.1,1
2/20/2019,4:25:00 PM,154,1.11,1
2/20/2019,4:25:30 PM,176,0.15,1
2/20/2019,4:26:00 PM,298,0.26,1
2/20/2019,4:26:30 PM,438,0.93,1
2/20/2019,4:27:00 PM,350,0.22,1
2/20/2019,4:27:30 PM,261,3.44,1
2/20/2019,4:28:00 PM,229,1.98,1
2/20/2019,4:28:30 PM,164,3.61,1
2/20/2019,4:29:00 PM,164,5.96,1
2/20/2019,4:29:30 PM,149,2.64,1
2/20/2019,4:30:00 PM,288,10.87,1
2/20/2019,4:30:30 PM,188,9.97,1
2/20/2019,4:31:00 PM,188,4.57,1
2/20/2019,4:31:30 PM,261,0.22,1
2/20/2019,4:32:00 PM,182,9.86,1
2/20/2019,4:32:30 PM,398,20.5,1
2/20/2019,4:33:00 PM,176,4.92,1
2/20/2019,4:33:30 PM,237,7.83,1
2/20/2019,4:34:00 PM,270,5.33,1
2/20/2019,4:34:30 PM,58,4.33,1
2/20/2019,4:35:00 PM,85,12.23,1
2/20/2019,4:35:30 PM,149,2.66,1
2/20/2019,4:36:00 PM,154,6.5,1
2/20/2019,4:36:30 PM,91,3.22,1
2/20/2019,4:37:00 PM,50,5.82,1
2/20/2019,4:37:30 PM,139,32.26,1
2/20/2019,4:38:00 PM,0,5.83,1
2/20/2019,4:38:30 PM,0,6.37,0
2/20/2019,4:39:00 PM,0,6.04,0
2/20/2019,4:39:30 PM,4,6.18,0
2/20/2019,4:40:00 PM,2,5.83,0
2/20/2019,4:40:30 PM,0,5.79,0
2/20/2019,4:41:00 PM,0,5.79,0
2/20/2019,4:41:30 PM,0,5.62,0
2/20/2019,4:42:00 PM,13,5.76,0
2/20/2019,4:42:30 PM,0,5.69,0
2/20/2019,4:43:00 PM,0,5.72,0
2/20/2019,4:43:30 PM,0,5.76,0
2/20/2019,4:44:00 PM,0,5.37,0
2/20/2019,4:44:30 PM,3,5.37,0
2/20/2019,4:45:00 PM,0,5.37,0
2/20/2019,4:45:30 PM,0,5.16,0
2/20/2019,4:46:00 PM,0,5.33,0
2/20/2019,4:46:30 PM,0,5.94,0
2/20/2019,4:47:00 PM,0,5.2,0
2/20/2019,4:47:30 PM,0,5.51,0
2/20/2019,4:48:00 PM,0,5.16,0
2/20/2019,4:48:30 PM,0,5.54,0
2/20/2019,4:49:00 PM,0,5.76,0
2/20/2019,4:49:30 PM,0,5.94,0
2/20/2019,4:50:00 PM,0,5.76,0
2/20/2019,4:50:30 PM,0,5.76,0
2/20/2019,4:51:00 PM,2,5.62,0
2/20/2019,4:51:30 PM,0,5.96,0
2/20/2019,4:52:00 PM,4,5.96,1
2/20/2019,4:52:30 PM,7,5.2,1
2/20/2019,4:53:00 PM,139,5.76,1
2/20/2019,4:53:30 PM,88,7.81,1
2/20/2019,4:54:00 PM,29,9.96,1
2/20/2019,4:54:30 PM,3,10.39,1
2/20/2019,4:55:00 PM,0,10.39,0
2/20/2019,4:55:30 PM,36,9.74,1
2/20/2019,4:56:00 PM,12,27.71,1
2/20/2019,4:56:30 PM,129,18.25,1
2/20/2019,4:57:00 PM,30,21.67,1
2/20/2019,4:57:30 PM,20,32.51,1
2/20/2019,4:58:00 PM,0,8.02,0
2/20/2019,4:58:30 PM,29,14.65,1
2/20/2019,4:59:00 PM,27,23.28,1
2/20/2019,4:59:30 PM,10,16.44,1
2/20/2019,5:00:00 PM,32,21,1
2/20/2019,5:00:30 PM,40,12.55,1
2/20/2019,5:01:00 PM,26,18.73,1
2/20/2019,5:01:30 PM,7,16.57,1
2/20/2019,5:02:00 PM,229,16.92,1
2/20/2019,5:02:30 PM,94,10.68,1
2/20/2019,5:03:00 PM,11,9.53,1
2/20/2019,5:03:30 PM,46,18.62,1
2/20/2019,5:04:00 PM,30,23.69,1
2/20/2019,5:04:30 PM,24,17.32,1
2/20/2019,5:05:00 PM,15,13.09,1
2/20/2019,5:05:30 PM,9,12.13,1
2/20/2019,5:06:00 PM,20,10.83,1
2/20/2019,5:06:30 PM,48,10.83,1
2/20/2019,5:07:00 PM,2,9.96,0
2/20/2019,5:07:30 PM,0,8.89,0
2/20/2019,5:08:00 PM,13,8.89,0
2/20/2019,5:08:30 PM,25,11.11,1
2/20/2019,5:09:00 PM,6,9.77,0
2/20/2019,5:09:30 PM,0,10.39,0
2/20/2019,5:10:00 PM,0,10.82,0
2/20/2019,5:10:30 PM,56,11.71,1
2/20/2019,5:11:00 PM,46,8.72,1
2/20/2019,5:11:30 PM,0,8.33,1
2/20/2019,5:12:00 PM,188,11.44,1
2/20/2019,5:12:30 PM,70,11.35,1
2/20/2019,5:13:00 PM,2,12.95,1
2/20/2019,5:13:30 PM,6,26.5,1
2/20/2019,5:14:00 PM,44,14.79,1
2/20/2019,5:14:30 PM,29,16.62,1
